ticker,asset_class,source_index,sector,company,security_code,source_url
1332.T,equity,nikkei225,UNKNOWN,NISSUI CORP.,1332,https://indexes.nikkei.co.jp/en/nkave/index/component
1605.T,equity,nikkei225,UNKNOWN,INPEX CORP.,1605,https://indexes.nikkei.co.jp/en/nkave/index/component
1721.T,equity,nikkei225,UNKNOWN,COMSYS HOLDINGS CORP.,1721,https://indexes.nikkei.co.jp/en/nkave/index/component
1801.T,equity,nikkei225,UNKNOWN,TAISEI CORP.,1801,https://indexes.nikkei.co.jp/en/nkave/index/component
1802.T,equity,nikkei225,UNKNOWN,OBAYASHI CORP.,1802,https://indexes.nikkei.co.jp/en/nkave/index/component
1803.T,equity,nikkei225,UNKNOWN,SHIMIZU CORP.,1803,https://indexes.nikkei.co.jp/en/nkave/index/component
1808.T,equity,nikkei225,UNKNOWN,HASEKO CORP.,1808,https://indexes.nikkei.co.jp/en/nkave/index/component
1812.T,equity,nikkei225,UNKNOWN,KAJIMA CORP.,1812,https://indexes.nikkei.co.jp/en/nkave/index/component
1925.T,equity,nikkei225,UNKNOWN,"DAIWA HOUSE IND. CO., LTD.",1925,https://indexes.nikkei.co.jp/en/nkave/index/component
1928.T,equity,nikkei225,UNKNOWN,"SEKISUI HOUSE, LTD.",1928,https://indexes.nikkei.co.jp/en/nkave/index/component
1963.T,equity,nikkei225,UNKNOWN,JGC HOLDINGS CORP.,1963,https://indexes.nikkei.co.jp/en/nkave/index/component
2002.T,equity,nikkei225,UNKNOWN,NISSHIN SEIFUN GROUP INC.,2002,https://indexes.nikkei.co.jp/en/nkave/index/component
2269.T,equity,nikkei225,UNKNOWN,"MEIJI HOLDINGS CO., LTD.",2269,https://indexes.nikkei.co.jp/en/nkave/index/component
2282.T,equity,nikkei225,UNKNOWN,NH FOODS LTD.,2282,https://indexes.nikkei.co.jp/en/nkave/index/component
2413.T,equity,nikkei225,UNKNOWN,"M3, INC.",2413,https://indexes.nikkei.co.jp/en/nkave/index/component
2432.T,equity,nikkei225,UNKNOWN,"DENA CO., LTD.",2432,https://indexes.nikkei.co.jp/en/nkave/index/component
2501.T,equity,nikkei225,UNKNOWN,SAPPORO BREWERIES LTD.,2501,https://indexes.nikkei.co.jp/en/nkave/index/component
2502.T,equity,nikkei225,UNKNOWN,"ASAHI GROUP HOLDINGS, LTD.",2502,https://indexes.nikkei.co.jp/en/nkave/index/component
2503.T,equity,nikkei225,UNKNOWN,"KIRIN HOLDINGS CO., LTD.",2503,https://indexes.nikkei.co.jp/en/nkave/index/component
2768.T,equity,nikkei225,UNKNOWN,SOJITZ CORP.,2768,https://indexes.nikkei.co.jp/en/nkave/index/component
2801.T,equity,nikkei225,UNKNOWN,KIKKOMAN CORP.,2801,https://indexes.nikkei.co.jp/en/nkave/index/component
2802.T,equity,nikkei225,UNKNOWN,"AJINOMOTO CO., INC.",2802,https://indexes.nikkei.co.jp/en/nkave/index/component
285A.T,equity,nikkei225,UNKNOWN,KIOXIA HOLDINGS CORP.,285A,https://indexes.nikkei.co.jp/en/nkave/index/component
2871.T,equity,nikkei225,UNKNOWN,NICHIREI CORP.,2871,https://indexes.nikkei.co.jp/en/nkave/index/component
2914.T,equity,nikkei225,UNKNOWN,JAPAN TOBACCO INC.,2914,https://indexes.nikkei.co.jp/en/nkave/index/component
3086.T,equity,nikkei225,UNKNOWN,"J.FRONT RETAILING CO., LTD.",3086,https://indexes.nikkei.co.jp/en/nkave/index/component
3092.T,equity,nikkei225,UNKNOWN,"ZOZO, INC.",3092,https://indexes.nikkei.co.jp/en/nkave/index/component
3099.T,equity,nikkei225,UNKNOWN,ISETAN MITSUKOSHI HOLDINGS LTD.,3099,https://indexes.nikkei.co.jp/en/nkave/index/component
3289.T,equity,nikkei225,UNKNOWN,TOKYU FUDOSAN HOLDINGS CORP.,3289,https://indexes.nikkei.co.jp/en/nkave/index/component
3382.T,equity,nikkei225,UNKNOWN,"SEVEN & I HOLDINGS CO., LTD.",3382,https://indexes.nikkei.co.jp/en/nkave/index/component
3401.T,equity,nikkei225,UNKNOWN,TEIJIN LTD.,3401,https://indexes.nikkei.co.jp/en/nkave/index/component
3402.T,equity,nikkei225,UNKNOWN,"TORAY INDUSTRIES, INC.",3402,https://indexes.nikkei.co.jp/en/nkave/index/component
3405.T,equity,nikkei225,UNKNOWN,"KURARAY CO., LTD.",3405,https://indexes.nikkei.co.jp/en/nkave/index/component
3407.T,equity,nikkei225,UNKNOWN,ASAHI KASEI CORP.,3407,https://indexes.nikkei.co.jp/en/nkave/index/component
3436.T,equity,nikkei225,UNKNOWN,SUMCO CORP.,3436,https://indexes.nikkei.co.jp/en/nkave/index/component
3659.T,equity,nikkei225,UNKNOWN,"NEXON CO., LTD.",3659,https://indexes.nikkei.co.jp/en/nkave/index/component
3697.T,equity,nikkei225,UNKNOWN,SHIFT INC.,3697,https://indexes.nikkei.co.jp/en/nkave/index/component
3861.T,equity,nikkei225,UNKNOWN,OJI HOLDINGS CORP.,3861,https://indexes.nikkei.co.jp/en/nkave/index/component
4004.T,equity,nikkei225,UNKNOWN,RESONAC HOLDINGS CORP.,4004,https://indexes.nikkei.co.jp/en/nkave/index/component
4005.T,equity,nikkei225,UNKNOWN,"SUMITOMO CHEMICAL CO., LTD.",4005,https://indexes.nikkei.co.jp/en/nkave/index/component
4021.T,equity,nikkei225,UNKNOWN,NISSAN CHEMICAL CORP.,4021,https://indexes.nikkei.co.jp/en/nkave/index/component
4042.T,equity,nikkei225,UNKNOWN,TOSOH CORP.,4042,https://indexes.nikkei.co.jp/en/nkave/index/component
