ticker,asset_class,source_index,sector,company,source_url
3IN.L,equity,ftse250,Financial Services,3i Infrastructure,https://en.wikipedia.org/wiki/FTSE_250_Index
AAF.L,equity,ftse100,Telecommunications services,Airtel Africa,https://en.wikipedia.org/wiki/FTSE_100_Index
AAL.L,equity,ftse100,Mining,Anglo American plc,https://en.wikipedia.org/wiki/FTSE_100_Index
AAS.L,equity,ftse250,Investment Trusts,Aberdeen Asia Focus,https://en.wikipedia.org/wiki/FTSE_250_Index
ABDN.L,equity,ftse100,Financial Services,Aberdeen Group,https://en.wikipedia.org/wiki/FTSE_100_Index
ABF.L,equity,ftse100,Food & tobacco,Associated British Foods,https://en.wikipedia.org/wiki/FTSE_100_Index
ADM.L,equity,ftse100,Insurance,Admiral Group,https://en.wikipedia.org/wiki/FTSE_100_Index
AEP.L,equity,ftse250,Food Producers,AEP Plantations,https://en.wikipedia.org/wiki/FTSE_250_Index
AGT.L,equity,ftse250,Investment Trusts,AVI Global Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
AIE.L,equity,ftse250,Investment Trusts,Ashoka India Equity Investment Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
AJB.L,equity,ftse250,Financial Services,AJ Bell,https://en.wikipedia.org/wiki/FTSE_250_Index
ALFA.L,equity,ftse250,Software and Computer Services,Alfa Financial Software,https://en.wikipedia.org/wiki/FTSE_250_Index
ALW.L,equity,ftse100,Investment Trusts,Alliance Witan,https://en.wikipedia.org/wiki/FTSE_100_Index
AML.L,equity,ftse250,Automobiles & Parts,Aston Martin Lagonda,https://en.wikipedia.org/wiki/FTSE_250_Index
ANTO.L,equity,ftse100,Mining,Antofagasta plc,https://en.wikipedia.org/wiki/FTSE_100_Index
AO.L,equity,ftse250,Retail,AO World,https://en.wikipedia.org/wiki/FTSE_250_Index
APN.L,equity,ftse250,Food Producers,Applied Nutrition,https://en.wikipedia.org/wiki/FTSE_250_Index
ASHM.L,equity,ftse250,Financial Services,Ashmore Group,https://en.wikipedia.org/wiki/FTSE_250_Index
ASL.L,equity,ftse250,Investment Trusts,Aberforth Smaller Companies Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
ATG.L,equity,ftse250,Software and Computer Services,Auction Technology Group,https://en.wikipedia.org/wiki/FTSE_250_Index
ATR.L,equity,ftse250,Investment Trusts,Schroder Asian Total Return Investment Company,https://en.wikipedia.org/wiki/FTSE_250_Index
ATT.L,equity,ftse250,Investment Trusts,Allianz Technology Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
ATYM.L,equity,ftse250,Industrial Metals and Mining,Atalaya Mining,https://en.wikipedia.org/wiki/FTSE_250_Index
AUTO.L,equity,ftse100,Media,Autotrader Group,https://en.wikipedia.org/wiki/FTSE_100_Index
AV.L,equity,ftse100,Life insurance,Aviva,https://en.wikipedia.org/wiki/FTSE_100_Index
AVON.L,equity,ftse250,Industrial Goods and Services,Avon Technologies,https://en.wikipedia.org/wiki/FTSE_250_Index
AZN.L,equity,ftse100,Pharmaceuticals & biotechnology,AstraZeneca,https://en.wikipedia.org/wiki/FTSE_100_Index
BA.L,equity,ftse100,Aerospace & defence,BAE Systems,https://en.wikipedia.org/wiki/FTSE_100_Index
BAB.L,equity,ftse100,Aerospace & defence,Babcock International,https://en.wikipedia.org/wiki/FTSE_100_Index
BAG.L,equity,ftse250,Beverages,A.G. Barr,https://en.wikipedia.org/wiki/FTSE_250_Index
BARC.L,equity,ftse100,Banks,Barclays,https://en.wikipedia.org/wiki/FTSE_100_Index
BATS.L,equity,ftse100,Tobacco,British American Tobacco,https://en.wikipedia.org/wiki/FTSE_100_Index
BBOX.L,equity,ftse100,Real Estate Investment Trusts,Tritax Big Box REIT,https://en.wikipedia.org/wiki/FTSE_100_Index
BBY.L,equity,ftse250,Construction & Materials,Balfour Beatty,https://en.wikipedia.org/wiki/FTSE_250_Index
BCG.L,equity,ftse250,Consumer Digital Services,Baltic Classifieds,https://en.wikipedia.org/wiki/FTSE_250_Index
BEZ.L,equity,ftse100,Insurance,Beazley,https://en.wikipedia.org/wiki/FTSE_100_Index
BGEO.L,equity,ftse100,Banking Services,Lion Finance Group,https://en.wikipedia.org/wiki/FTSE_100_Index
BGFD.L,equity,ftse250,Investment Trusts,Baillie Gifford Japan Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
BHMG.L,equity,ftse250,Hedge Funds,BH Macro,https://en.wikipedia.org/wiki/FTSE_250_Index
BKG.L,equity,ftse250,Household goods & home construction,Berkeley Group Holdings,https://en.wikipedia.org/wiki/FTSE_250_Index
BLND.L,equity,ftse100,Real estate,British Land,https://en.wikipedia.org/wiki/FTSE_100_Index
BME.L,equity,ftse250,Retailers,B&M,https://en.wikipedia.org/wiki/FTSE_250_Index
BMY.L,equity,ftse250,Media,Bloomsbury Publishing,https://en.wikipedia.org/wiki/FTSE_250_Index
BNKR.L,equity,ftse250,Investment Trusts,Bankers Investment Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
BNZL.L,equity,ftse100,Support services,Bunzl,https://en.wikipedia.org/wiki/FTSE_100_Index
BOWL.L,equity,ftse250,Travel and leisure,Hollywood Bowl Group,https://en.wikipedia.org/wiki/FTSE_250_Index
BOY.L,equity,ftse250,Industrial Engineering,Bodycote,https://en.wikipedia.org/wiki/FTSE_250_Index
BP.L,equity,ftse100,Oil & gas producers,BP,https://en.wikipedia.org/wiki/FTSE_100_Index
BPCR.L,equity,ftse250,Investment Trusts,Biopharma Credit,https://en.wikipedia.org/wiki/FTSE_250_Index
BPT.L,equity,ftse250,Financial Services,Bridgepoint Group,https://en.wikipedia.org/wiki/FTSE_250_Index
BRBY.L,equity,ftse100,Personal goods,Burberry Group,https://en.wikipedia.org/wiki/FTSE_100_Index
BREE.L,equity,ftse250,Construction & Materials,Breedon Group,https://en.wikipedia.org/wiki/FTSE_250_Index
BRGE.L,equity,ftse250,Investment Trusts,BlackRock Greater Europe Investment Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
BRSC.L,equity,ftse250,Investment Trusts,BlackRock Smaller Companies Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
BRWM.L,equity,ftse250,Investment Trusts,BlackRock World Mining Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
BT-A.L,equity,ftse100,Telecommunications services,BT Group,https://en.wikipedia.org/wiki/FTSE_100_Index
BTRW.L,equity,ftse100,Household goods & home construction,Barratt Redrow,https://en.wikipedia.org/wiki/FTSE_100_Index
BUT.L,equity,ftse250,Investment Trusts,Brunner Investment Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
BWY.L,equity,ftse250,Home Construction,Bellway,https://en.wikipedia.org/wiki/FTSE_250_Index
BYG.L,equity,ftse250,Real Estate Investment Trusts,Big Yellow Group,https://en.wikipedia.org/wiki/FTSE_250_Index
BYIT.L,equity,ftse250,Aerospace & Defence,Bytes Technology Group,https://en.wikipedia.org/wiki/FTSE_250_Index
CBG.L,equity,ftse250,Financial Services,Close Brothers Group,https://en.wikipedia.org/wiki/FTSE_250_Index
CCC.L,equity,ftse100,Software & Computer Services,Computacenter,https://en.wikipedia.org/wiki/FTSE_100_Index
CCEP.L,equity,ftse100,Beverages,Coca-Cola Europacific Partners,https://en.wikipedia.org/wiki/FTSE_100_Index
CCH.L,equity,ftse100,Beverages,Coca-Cola HBC,https://en.wikipedia.org/wiki/FTSE_100_Index
CGT.L,equity,ftse250,Investment Trusts,Capital Gearing Trust,https://en.wikipedia.org/wiki/FTSE_250_Index
CHG.L,equity,ftse250,Aerospace & Defence,Chemring Group,https://en.wikipedia.org/wiki/FTSE_250_Index
CKN.L,equity,ftse250,Industrial Transportation,Clarkson,https://en.wikipedia.org/wiki/FTSE_250_Index
CLDN.L,equity,ftse250,Investment Trusts,Caledonia Investments,https://en.wikipedia.org/wiki/FTSE_250_Index
CMCX.L,equity,ftse250,Financial Services,CMC Markets,https://en.wikipedia.org/wiki/FTSE_250_Index
CNA.L,equity,ftse100,Multiline utilities,Centrica,https://en.wikipedia.org/wiki/FTSE_100_Index
COA.L,equity,ftse250,Consumer Staples,Coats Group,https://en.wikipedia.org/wiki/FTSE_250_Index
CORD.L,equity,ftse250,Investment Trusts,Cordiant Digital Infrastructure,https://en.wikipedia.org/wiki/FTSE_250_Index
COST.L,equity,ftse250,Engineering and Construction,Costain Group,https://en.wikipedia.org/wiki/FTSE_250_Index
