ticker,asset_class
SPY,us_equity_index
QQQ,us_equity_index
IWM,us_equity_index
DIA,us_equity_index
VTI,us_equity_index
RSP,us_equity_index
MDY,us_equity_index
XLB,us_sector
XLC,us_sector
XLE,us_sector
XLF,us_sector
XLI,us_sector
XLK,us_sector
XLP,us_sector
XLRE,us_sector
XLU,us_sector
XLV,us_sector
XLY,us_sector
IWF,us_style
IWD,us_style
MTUM,us_style
QUAL,us_style
USMV,us_style
VLUE,us_style
VUG,us_style
VTV,us_style
IJH,us_style
IJR,us_style
EFA,international_equity
EEM,international_equity
EWJ,international_equity
EWZ,international_equity
EWG,international_equity
EWU,international_equity
EWY,international_equity
EWC,international_equity
EWA,international_equity
EWH,international_equity
EWT,international_equity
INDA,international_equity
MCHI,international_equity
FXI,international_equity
TLT,bond
IEF,bond
SHY,bond
TIP,bond
LQD,bond
HYG,bond
EMB,bond
BND,bond
AGG,bond
VCIT,bond
GLD,commodity_proxy
SLV,commodity_proxy
USO,commodity_proxy
DBC,commodity_proxy
DBA,commodity_proxy
COPX,commodity_proxy
GDX,commodity_proxy
GDXJ,commodity_proxy
UUP,currency_proxy
FXE,currency_proxy
FXY,currency_proxy
FXB,currency_proxy
VNQ,real_estate
IYR,real_estate
AAPL,us_stock
MSFT,us_stock
NVDA,us_stock
AMZN,us_stock
GOOGL,us_stock
META,us_stock
BRK-B,us_stock
JPM,us_stock
XOM,us_stock
UNH,us_stock
JNJ,us_stock
PG,us_stock
HD,us_stock
MA,us_stock
V,us_stock
COST,us_stock
ABBV,us_stock
AVGO,us_stock
ORCL,us_stock
CRM,us_stock
AMD,us_stock
NFLX,us_stock
KO,us_stock
PEP,us_stock
WMT,us_stock
BAC,us_stock
GS,us_stock
CAT,us_stock
GE,us_stock
IBM,us_stock
INTC,us_stock
CSCO,us_stock
QCOM,us_stock
TXN,us_stock
AMAT,us_stock
LLY,us_stock
MRK,us_stock
TMO,us_stock
DHR,us_stock
LIN,us_stock
NEE,us_stock
MCD,us_stock
DIS,us_stock
MMM,us_stock
AOS,us_stock
ABT,us_stock
ACN,us_stock
ADBE,us_stock
AES,us_stock
AFL,us_stock
A,us_stock
APD,us_stock
ABNB,us_stock
AKAM,us_stock
ALB,us_stock
ARE,us_stock
ALGN,us_stock
ALLE,us_stock
LNT,us_stock
ALL,us_stock
GOOG,us_stock
MO,us_stock
AMCR,us_stock
AEE,us_stock
AEP,us_stock
AXP,us_stock
AIG,us_stock
AMT,us_stock
AWK,us_stock
AMP,us_stock
AME,us_stock
AMGN,us_stock
APH,us_stock
ADI,us_stock
AON,us_stock
APA,us_stock
APO,us_stock
APP,us_stock
APTV,us_stock
ACGL,us_stock
ADM,us_stock
ARES,us_stock
ANET,us_stock
AJG,us_stock
AIZ,us_stock
T,us_stock
ATO,us_stock
ADSK,us_stock
ADP,us_stock
AZO,us_stock
AVB,us_stock
AVY,us_stock
AXON,us_stock
BKR,us_stock
BALL,us_stock
BAX,us_stock
BDX,us_stock
BBY,us_stock
TECH,us_stock
BIIB,us_stock
BLK,us_stock
BX,us_stock
XYZ,us_stock
BNY,us_stock
BA,us_stock
BKNG,us_stock
BSX,us_stock
BMY,us_stock
BR,us_stock
BRO,us_stock
BF-B,us_stock
BLDR,us_stock
BG,us_stock
BXP,us_stock
CHRW,us_stock
CDNS,us_stock
CPT,us_stock
COF,us_stock
CAH,us_stock
CCL,us_stock
CARR,us_stock
CVNA,us_stock
CASY,us_stock
CBOE,us_stock
CBRE,us_stock
CDW,us_stock
COR,us_stock
CNC,us_stock
CNP,us_stock
CF,us_stock
CRL,us_stock
SCHW,us_stock
CHTR,us_stock
CVX,us_stock
CMG,us_stock
CB,us_stock
CHD,us_stock
CIEN,us_stock
CI,us_stock
CINF,us_stock
CTAS,us_stock
C,us_stock
CFG,us_stock
CLX,us_stock
CME,us_stock
CMS,us_stock
CTSH,us_stock
COHR,us_stock
COIN,us_stock
CL,us_stock
CMCSA,us_stock
FIX,us_stock
COP,us_stock
ED,us_stock
STZ,us_stock
CEG,us_stock
COO,us_stock
CPRT,us_stock
GLW,us_stock
CPAY,us_stock
CTVA,us_stock
CSGP,us_stock
CRH,us_stock
CRWD,us_stock
CCI,us_stock
CSX,us_stock
CMI,us_stock
CVS,us_stock
DRI,us_stock
DDOG,us_stock
DVA,us_stock
DECK,us_stock
DE,us_stock
DELL,us_stock
DAL,us_stock
DVN,us_stock
DXCM,us_stock
FANG,us_stock
DLR,us_stock
DG,us_stock
DLTR,us_stock
D,us_stock
DPZ,us_stock
DASH,us_stock
DOV,us_stock
DOW,us_stock
DHI,us_stock
DTE,us_stock
DUK,us_stock
DD,us_stock
ETN,us_stock
EBAY,us_stock
ECHO,us_stock
ECL,us_stock
EIX,us_stock
EW,us_stock
ELV,us_stock
EME,us_stock
EMR,us_stock
ETR,us_stock
EOG,us_stock
EQT,us_stock
EFX,us_stock
EQIX,us_stock
EQR,us_stock
ERIE,us_stock
ESS,us_stock
EL,us_stock
EG,us_stock
EVRG,us_stock
ES,us_stock
EXC,us_stock
EXE,us_stock
EXPE,us_stock
EXPD,us_stock
EXR,us_stock
FFIV,us_stock
FDS,us_stock
FICO,us_stock
FAST,us_stock
FRT,us_stock
FDX,us_stock
FDXF,us_stock
FERG,us_stock
FIS,us_stock
FITB,us_stock
FSLR,us_stock
FE,us_stock
FISV,us_stock
FLEX,us_stock
F,us_stock
FTNT,us_stock
FTV,us_stock
FOXA,us_stock
FOX,us_stock
BEN,us_stock
FCX,us_stock
GRMN,us_stock
IT,us_stock
GEHC,us_stock
GEV,us_stock
GEN,us_stock
GNRC,us_stock
GD,us_stock
GIS,us_stock
GM,us_stock
GPC,us_stock
GILD,us_stock
GPN,us_stock
GL,us_stock
GDDY,us_stock
HAL,us_stock
HIG,us_stock
HAS,us_stock
HCA,us_stock
DOC,us_stock
HSIC,us_stock
HSY,us_stock
HPE,us_stock
HLT,us_stock
HONA,us_stock
HON,us_stock
HRL,us_stock
HST,us_stock
HWM,us_stock
HPQ,us_stock
HUBB,us_stock
HUM,us_stock
HBAN,us_stock
HII,us_stock
IEX,us_stock
IDXX,us_stock
ITW,us_stock
INCY,us_stock
IR,us_stock
PODD,us_stock
IBKR,us_stock
ICE,us_stock
IFF,us_stock
IP,us_stock
INTU,us_stock
ISRG,us_stock
IVZ,us_stock
INVH,us_stock
IQV,us_stock
IRM,us_stock
JBHT,us_stock
JBL,us_stock
JKHY,us_stock
J,us_stock
JCI,us_stock
KVUE,us_stock
KDP,us_stock
KEY,us_stock
KEYS,us_stock
KMB,us_stock
KIM,us_stock
KMI,us_stock
KKR,us_stock
KLAC,us_stock
KHC,us_stock
KR,us_stock
LHX,us_stock
LH,us_stock
LRCX,us_stock
LVS,us_stock
LDOS,us_stock
LEN,us_stock
LII,us_stock
LYV,us_stock
LMT,us_stock
L,us_stock
LOW,us_stock
LULU,us_stock
LITE,us_stock
LYB,us_stock
MTB,us_stock
MPC,us_stock
MAR,us_stock
MRSH,us_stock
MLM,us_stock
MRVL,us_stock
MAS,us_stock
MKC,us_stock
MCK,us_stock
MDT,us_stock
MET,us_stock
MTD,us_stock
MGM,us_stock
MCHP,us_stock
MU,us_stock
MAA,us_stock
MRNA,us_stock
TAP,us_stock
MDLZ,us_stock
MPWR,us_stock
MNST,us_stock
MCO,us_stock
MS,us_stock
MOS,us_stock
MSI,us_stock
MSCI,us_stock
NDAQ,us_stock
NTAP,us_stock
NEM,us_stock
NWSA,us_stock
NWS,us_stock
NKE,us_stock
NI,us_stock
NDSN,us_stock
NSC,us_stock
NTRS,us_stock
NOC,us_stock
NCLH,us_stock
NRG,us_stock
NUE,us_stock
NVR,us_stock
NXPI,us_stock
ORLY,us_stock
OXY,us_stock
ODFL,us_stock
OMC,us_stock
ON,us_stock
OKE,us_stock
OTIS,us_stock
PCAR,us_stock
PKG,us_stock
PLTR,us_stock
PANW,us_stock
PSKY,us_stock
PH,us_stock
PAYX,us_stock
PYPL,us_stock
PNR,us_stock
PFE,us_stock
PCG,us_stock
PM,us_stock
PSX,us_stock
PNW,us_stock
PNC,us_stock
PPG,us_stock
PPL,us_stock
PFG,us_stock
PGR,us_stock
PLD,us_stock
PRU,us_stock
PEG,us_stock
PTC,us_stock
PSA,us_stock
PHM,us_stock
PWR,us_stock
DGX,us_stock
Q,us_stock
RL,us_stock
RJF,us_stock
RTX,us_stock
O,us_stock
REG,us_stock
REGN,us_stock
RF,us_stock
RSG,us_stock
RMD,us_stock
RVTY,us_stock
HOOD,us_stock
ROK,us_stock
ROL,us_stock
ROP,us_stock
ROST,us_stock
RCL,us_stock
SPGI,us_stock
SNDK,us_stock
SBAC,us_stock
SLB,us_stock
STX,us_stock
SRE,us_stock
NOW,us_stock
SHW,us_stock
SPG,us_stock
SWKS,us_stock
SJM,us_stock
SW,us_stock
SNA,us_stock
SOLV,us_stock
SO,us_stock
LUV,us_stock
SWK,us_stock
SBUX,us_stock
STT,us_stock
STLD,us_stock
STE,us_stock
SYK,us_stock
SMCI,us_stock
SYF,us_stock
SNPS,us_stock
SYY,us_stock
TMUS,us_stock
TROW,us_stock
TTWO,us_stock
TPR,us_stock
TRGP,us_stock
TGT,us_stock
TEL,us_stock
TDY,us_stock
TER,us_stock
TSLA,us_stock
TPL,us_stock
TXT,us_stock
TJX,us_stock
TKO,us_stock
TTD,us_stock
TSCO,us_stock
TT,us_stock
TDG,us_stock
TRV,us_stock
TRMB,us_stock
TFC,us_stock
TYL,us_stock
TSN,us_stock
USB,us_stock
UBER,us_stock
UDR,us_stock
ULTA,us_stock
UNP,us_stock
UAL,us_stock
UPS,us_stock
URI,us_stock
UHS,us_stock
VLO,us_stock
VEEV,us_stock
VTR,us_stock
VLTO,us_stock
VRSN,us_stock
VRSK,us_stock
VZ,us_stock
VRTX,us_stock
VRT,us_stock
VTRS,us_stock
VICI,us_stock
VST,us_stock
VMC,us_stock
WRB,us_stock
GWW,us_stock
WAB,us_stock
WBD,us_stock
WM,us_stock
WAT,us_stock
WEC,us_stock
WFC,us_stock
WELL,us_stock
WST,us_stock
WDC,us_stock
WY,us_stock
WSM,us_stock
WMB,us_stock
WTW,us_stock
WDAY,us_stock
WYNN,us_stock
XEL,us_stock
XYL,us_stock
YUM,us_stock
ZBRA,us_stock
ZBH,us_stock
ZTS,us_stock
